SAU,FAO,,,
Anguilla (UK),,,,                            
Antigua & Barbuda,Antigua and Barbuda,,,                            
Aruba (Netherlands),,,,                             
Bahamas,,,,          
Barbados,Barbados,,,
Belize,Belize,,,               
Bermuda (UK),Bermuda,,,                          
Bonaire (Netherlands),,,,                           
British Virgin Isl. (UK),British Virgin Islands,,,            
Canada (East Coast),Canada,,,                        
Cayman Isl. (UK),,,,                              
Colombia (Caribbean),,,,                          
Costa Rica (Caribbean),Costa Rica,,,                
Cuba,Cuba,,,                           
Curaçao (Netherlands),,,,                        
Dominica,Dominica,,,                        
Dominican Republic,Dominican Republic,,,                            
French Guiana,France,,,                         
Grenada,Grenada,,,                       
Guadeloupe  (France),Guadeloupe,,,             
Guatemala (Caribbean),,,,                       
Guyana,,,,  
Haiti,,,,               
Honduras (Caribbean),,,,      
Jamaica,,,,                          
Martinique (France),Martinique,,,                            
Mexico (Atlantic),Mexico,,,   
Montserrat (UK),,,,
Nicaragua (Caribbean),Nicaragua,,,
Panama (Caribbean),,,,
Puerto Rico (USA),Puerto Rico,,,
Saba and Sint Eustatius (Netherlands),,,,
Saint Kitts & Nevis,Saint Kitts and Nevis,,,
Saint Lucia,Saint Lucia,,,
Saint Pierre & Miquelon (France),,,,
Saint Vincent & the Grenadines,Saint Vincent and the Grenadines,,,
Sint Maarten (Netherlands),,,,
St Barthelemy (France),,,,
St Martin (France),,,,
Suriname,,,,
Trinidad & Tobago,Trinidad and Tobago,,,
Turks & Caicos Isl. (UK),,,,
US Virgin Isl.,United States Virgin Islands,,,
Venezuela,Venezuela (Bolivarian Republic of),,,
,Other NEI,,,
,Portugal,,,
,Spain,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,             ,,,
,,,,
,,,,
,                    ,,,
,                               ,,,
,             ,,,
,                                 ,,,
,                        ,,,
