"JURISDICTION","AREA","SCIENTIFIC_NAME","YEAR","Landings_Tonnes"
"Belize","21","Coryphaena hippurus",2022,20.051
"Canada","21","Coryphaena hippurus",2022,2.545
"Spain","21","Coryphaena hippurus",2022,0.439
"United States of America","21","Coryphaena hippurus",2022,25
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2022,0
"Antigua and Barbuda","31","Coryphaena hippurus",2022,25
"Barbados","31","Coryphaena hippurus",2022,137.399
"Belize","31","Coryphaena hippurus",2022,0
"Bermuda","31","Coryphaena hippurus",2022,2
"British Virgin Islands","31","Coryphaena hippurus",2022,0
"Costa Rica","31","Coryphaena hippurus",2022,5.058
"Cuba","31","Coryphaena hippurus",2022,8
"Dominica","31","Coryphaena hippurus",2022,70
"Dominican Republic","31","Coryphaena hippurus",2022,900
"Grenada","31","Coryphaena hippurus",2022,51.729
"Guadeloupe","31","Coryphaena hippurus",2022,296
"Martinique","31","Coryphaena hippurus",2022,142
"Mexico","31","Coryphaena hippurus",2022,36.126
"Nicaragua","31","Coryphaena hippurus",2022,0.02
"Puerto Rico","31","Coryphaena hippurus",2022,53.843
"Saint Kitts and Nevis","31","Coryphaena hippurus",2022,15
"Saint Lucia","31","Coryphaena hippurus",2022,288.34
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2022,70
"Spain","31","Coryphaena hippurus",2022,0.145
"Trinidad and Tobago","31","Coryphaena hippurus",2022,5.835
"United States Virgin Islands","31","Coryphaena hippurus",2022,15
"United States of America","31","Coryphaena hippurus",2022,78
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2022,57.86
"Belize","21","Coryphaena hippurus",2021,10.858
"Canada","21","Coryphaena hippurus",2021,3.522
"Portugal","21","Coryphaena hippurus",2021,0.9
"Spain","21","Coryphaena hippurus",2021,0.423
"United States of America","21","Coryphaena hippurus",2021,29
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2021,0
"Antigua and Barbuda","31","Coryphaena hippurus",2021,25
"Barbados","31","Coryphaena hippurus",2021,121
"Belize","31","Coryphaena hippurus",2021,0
"Bermuda","31","Coryphaena hippurus",2021,7
"British Virgin Islands","31","Coryphaena hippurus",2021,3.45
"Costa Rica","31","Coryphaena hippurus",2021,10.746
"Cuba","31","Coryphaena hippurus",2021,9
"Dominica","31","Coryphaena hippurus",2021,69
"Dominican Republic","31","Coryphaena hippurus",2021,880.716
"France","31","Coryphaena hippurus",2021,692.761
"Grenada","31","Coryphaena hippurus",2021,70.031
"Guadeloupe","31","Coryphaena hippurus",2021,585.658
"Martinique","31","Coryphaena hippurus",2021,107.103
"Mexico","31","Coryphaena hippurus",2021,40.426
"Puerto Rico","31","Coryphaena hippurus",2021,46
"Saint Kitts and Nevis","31","Coryphaena hippurus",2021,12.643
"Saint Lucia","31","Coryphaena hippurus",2021,276.27
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2021,69.807
"Spain","31","Coryphaena hippurus",2021,0.03
"Trinidad and Tobago","31","Coryphaena hippurus",2021,5.243
"United States Virgin Islands","31","Coryphaena hippurus",2021,13.94
"United States of America","31","Coryphaena hippurus",2021,82
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2021,36.164
"Belize","21","Coryphaena hippurus",2020,20.73
"Canada","21","Coryphaena hippurus",2020,4.402
"Spain","21","Coryphaena hippurus",2020,0.153
"United States of America","21","Coryphaena hippurus",2020,31
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2020,0
"Antigua and Barbuda","31","Coryphaena hippurus",2020,20
"Barbados","31","Coryphaena hippurus",2020,150
"Belize","31","Coryphaena hippurus",2020,0
"Bermuda","31","Coryphaena hippurus",2020,2.3
"British Virgin Islands","31","Coryphaena hippurus",2020,0
"Costa Rica","31","Coryphaena hippurus",2020,30.792
"Cuba","31","Coryphaena hippurus",2020,10
"Dominica","31","Coryphaena hippurus",2020,107
"Dominican Republic","31","Coryphaena hippurus",2020,702.46
"France","31","Coryphaena hippurus",2020,838.272
"Grenada","31","Coryphaena hippurus",2020,80
"Guadeloupe","31","Coryphaena hippurus",2020,707.146
"Martinique","31","Coryphaena hippurus",2020,131.126
"Mexico","31","Coryphaena hippurus",2020,16.152
"Puerto Rico","31","Coryphaena hippurus",2020,57.926
"Saint Kitts and Nevis","31","Coryphaena hippurus",2020,22
"Saint Lucia","31","Coryphaena hippurus",2020,302.39
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2020,116.653
"Spain","31","Coryphaena hippurus",2020,0.51
"Trinidad and Tobago","31","Coryphaena hippurus",2020,4.083
"United States Virgin Islands","31","Coryphaena hippurus",2020,9.835
"United States of America","31","Coryphaena hippurus",2020,107
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2020,35.916
"Belize","21","Coryphaena hippurus",2019,17
"Canada","21","Coryphaena hippurus",2019,13.106
"Spain","21","Coryphaena hippurus",2019,0.322
"United States of America","21","Coryphaena hippurus",2019,124
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2019,284.894
"Antigua and Barbuda","31","Coryphaena hippurus",2019,22
"Barbados","31","Coryphaena hippurus",2019,186
"Belize","31","Coryphaena hippurus",2019,0
"Bermuda","31","Coryphaena hippurus",2019,5
"British Virgin Islands","31","Coryphaena hippurus",2019,1
"Costa Rica","31","Coryphaena hippurus",2019,35.425
"Cuba","31","Coryphaena hippurus",2019,10
"Dominica","31","Coryphaena hippurus",2019,227
"Dominican Republic","31","Coryphaena hippurus",2019,494.762
"France","31","Coryphaena hippurus",2019,890.263
"Grenada","31","Coryphaena hippurus",2019,90
"Guadeloupe","31","Coryphaena hippurus",2019,777.065
"Martinique","31","Coryphaena hippurus",2019,113.198
"Mexico","31","Coryphaena hippurus",2019,21.878
"Other NEI","31","Coryphaena hippurus",2019,0
"Puerto Rico","31","Coryphaena hippurus",2019,42.583
"Saint Kitts and Nevis","31","Coryphaena hippurus",2019,30
"Saint Lucia","31","Coryphaena hippurus",2019,388.09
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2019,99
"Trinidad and Tobago","31","Coryphaena hippurus",2019,5.098
"United States Virgin Islands","31","Coryphaena hippurus",2019,8.508
"United States of America","31","Coryphaena hippurus",2019,200
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2019,836.155
"Belize","21","Coryphaena hippurus",2018,0
"Canada","21","Coryphaena hippurus",2018,5.045
"Spain","21","Coryphaena hippurus",2018,2
"United States of America","21","Coryphaena hippurus",2018,81
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2018,287.993
"Antigua and Barbuda","31","Coryphaena hippurus",2018,22
"Barbados","31","Coryphaena hippurus",2018,191
"Belize","31","Coryphaena hippurus",2018,0
"Bermuda","31","Coryphaena hippurus",2018,5
"British Virgin Islands","31","Coryphaena hippurus",2018,1
"Costa Rica","31","Coryphaena hippurus",2018,61.711
"Cuba","31","Coryphaena hippurus",2018,16
"Dominica","31","Coryphaena hippurus",2018,209
"Dominican Republic","31","Coryphaena hippurus",2018,278.077
"France","31","Coryphaena hippurus",2018,931.323
"Grenada","31","Coryphaena hippurus",2018,100
"Guadeloupe","31","Coryphaena hippurus",2018,847.249
"Martinique","31","Coryphaena hippurus",2018,84.074
"Mexico","31","Coryphaena hippurus",2018,8
"Other NEI","31","Coryphaena hippurus",2018,0
"Puerto Rico","31","Coryphaena hippurus",2018,37.727
"Saint Kitts and Nevis","31","Coryphaena hippurus",2018,68
"Saint Lucia","31","Coryphaena hippurus",2018,390
"Saint Vincent and the Grenadines","31","Coryphaena hippurus",2018,126
"Trinidad and Tobago","31","Coryphaena hippurus",2018,5.76
"United States Virgin Islands","31","Coryphaena hippurus",2018,9.051
"United States of America","31","Coryphaena hippurus",2018,158
"Venezuela (Bolivarian Republic of)","31","Coryphaena hippurus",2018,836.155
"Belize","21","Coryphaena hippurus",2017,0
"Canada","21","Coryphaena hippurus",2017,26.134
"Spain","21","Coryphaena hippurus",2017,0
"United States of America","21","Coryphaena hippurus",2017,111
"Venezuela (Bolivarian Republic of)","21","Coryphaena hippurus",2017,288.845
"Antigua and Barbuda","31","Coryphaena hippurus",2017,22
"Barbados","31","Coryphaena hippurus",2017,228
"Belize","31","Coryphaena hippurus",2017,0
"Bermuda","31","Coryphaena hippurus",2017,4
"British Virgin Islands","31","Coryphaena hippurus",2017,1
"Costa Rica","31","Coryphaena hippurus",2017,62.963
"Cuba","31","Coryphaena hippurus",2017,16
"Dominica","31","Coryphaena hippurus",2017,228
"Dominican Republic","31","Coryphaena hippurus",2017,421.77
"France","31","Coryphaena hippurus",2017,930.459
"Grenada","31","Coryphaena hippurus",2017,100
