"Year","Quarter","Fleet","Area","Catch_lbs"
"1997","1","Intl","NCA",0
"1997","2","Intl","NCA",0
"1997","3","Intl","NCA",0
"1997","4","Intl","NCA",0
"1998","1","Intl","NCA",0
"1998","2","Intl","NCA",0
"1998","3","Intl","NCA",0
"1998","4","Intl","NCA",0
"1999","1","Intl","NCA",8552.20961979488
"1999","2","Intl","NCA",15734.5847983239
"1999","3","Intl","NCA",18881.5017579887
"1999","4","Intl","NCA",0
"2000","1","Intl","NCA",26611.2334850123
"2000","2","Intl","NCA",0
"2000","3","Intl","NCA",3673.39379871542
"2000","4","Intl","NCA",0
"2001","1","Intl","NCA",152602.611420424
"2001","2","Intl","NCA",11669.6114615619
"2001","3","Intl","NCA",0
"2001","4","Intl","NCA",0
"2002","1","Intl","NCA",12581.9154572442
"2002","2","Intl","NCA",805.738428296424
"2002","3","Intl","NCA",4545.19113397983
"2002","4","Intl","NCA",4214.63177878129
"2003","1","Intl","NCA",60641.7916978871
"2003","2","Intl","NCA",69869.890434522
"2003","3","Intl","NCA",6591.49909759642
"2003","4","Intl","NCA",0
"2004","1","Intl","NCA",47184.4703216066
"2004","2","Intl","NCA",3973.42907971424
"2004","3","Intl","NCA",14900.3590489284
"2004","4","Intl","NCA",0
"2005","1","Intl","NCA",108889.761586726
"2005","2","Intl","NCA",0
"2005","3","Intl","NCA",6282.10163000344
"2005","4","Intl","NCA",0
"2006","1","Intl","NCA",141848.750696378
"2006","2","Intl","NCA",28673.3503191251
"2006","3","Intl","NCA",0
"2006","4","Intl","NCA",0
"2007","1","Intl","NCA",330838.61950292
"2007","2","Intl","NCA",0
"2007","3","Intl","NCA",0
"2007","4","Intl","NCA",0
"2008","1","Intl","NCA",169011.593868223
"2008","2","Intl","NCA",130664.425511568
"2008","3","Intl","NCA",0
"2008","4","Intl","NCA",41187.6993460376
"2009","1","Intl","NCA",389623.076043758
"2009","2","Intl","NCA",153246.924158213
"2009","3","Intl","NCA",64913.0839122995
"2009","4","Intl","NCA",54937.5765850196
"2010","1","Intl","NCA",146863.627065842
"2010","2","Intl","NCA",36980.0499806077
"2010","3","Intl","NCA",18783.5174504674
"2010","4","Intl","NCA",29466.6430004207
"2011","1","Intl","NCA",66676.292702466
"2011","2","Intl","NCA",9747.99600913245
"2011","3","Intl","NCA",0
"2011","4","Intl","NCA",224073.934929925
"2012","1","Intl","NCA",680483.075002318
"2012","2","Intl","NCA",318870.009494955
"2012","3","Intl","NCA",5534.45944383767
"2012","4","Intl","NCA",54322.8480795144
"2013","1","Intl","NCA",1633093.1542403
"2013","2","Intl","NCA",606036.104840924
"2013","3","Intl","NCA",0
"2013","4","Intl","NCA",232662.136800999
"2014","1","Intl","NCA",729738.306650844
"2014","2","Intl","NCA",437896.07034545
"2014","3","Intl","NCA",0
"2014","4","Intl","NCA",79828.6062472461
"2015","1","Intl","NCA",387741.951803611
"2015","2","Intl","NCA",276386.308620342
"2015","3","Intl","NCA",3471.51885223618
"2015","4","Intl","NCA",42459.3459619656
"2016","1","Intl","NCA",439836.338745373
"2016","2","Intl","NCA",580409.508794428
"2016","3","Intl","NCA",0
"2016","4","Intl","NCA",74648.0437611331
"2017","1","Intl","NCA",628067.039054999
"2017","2","Intl","NCA",471857.148560333
"2017","3","Intl","NCA",48412.156145041
"2017","4","Intl","NCA",225923.395343525
"2018","1","Intl","NCA",719062.773330477
"2018","2","Intl","NCA",59407.2311708615
"2018","3","Intl","NCA",23527.6163052917
"2018","4","Intl","NCA",83817.1330876017
"2019","1","Intl","NCA",530991.428667857
"2019","2","Intl","NCA",65792.1650660173
"2019","3","Intl","NCA",25386.0443984633
"2019","4","Intl","NCA",10577.5184993597
"2020","1","Intl","NCA",218632.147616643
"2020","2","Intl","NCA",118318.574004301
"2020","3","Intl","NCA",270075.005879383
"2020","4","Intl","NCA",25721.4291313698
"2021","1","Intl","NCA",294520.630698753
"2021","2","Intl","NCA",338226.525932945
"2021","3","Intl","NCA",0
"2021","4","Intl","NCA",0
"2022","1","Intl","NCA",117447.268052287
"2022","2","Intl","NCA",379501.484893953
"2022","3","Intl","NCA",91755.6781658494
"2022","4","Intl","NCA",44042.7255196077
