"Year","Quarter","Fleet","Area","Catch_lbs"
"2007","1","Intl","NED",0
"2007","2","Intl","NED",1450.36578070392
"2007","3","Intl","NED",13279.9116795703
"2007","4","Intl","NED",0
"2008","1","Intl","NED",0
"2008","2","Intl","NED",1312.74955147015
"2008","3","Intl","NED",22170.881313718
"2008","4","Intl","NED",5250.99820588059
"2009","1","Intl","NED",0
"2009","2","Intl","NED",13518.2557110208
"2009","3","Intl","NED",5080.10883407788
"2009","4","Intl","NED",172.207079121284
"2010","1","Intl","NED",0
"2010","2","Intl","NED",0
"2010","3","Intl","NED",23742.5933597214
"2010","4","Intl","NED",24859.8918707671
"2011","1","Intl","NED",0
"2011","2","Intl","NED",0
"2011","3","Intl","NED",37049.2035779596
"2011","4","Intl","NED",0
"2012","1","Intl","NED",0
"2012","2","Intl","NED",2242.18585237901
"2012","3","Intl","NED",94171.8057999184
"2012","4","Intl","NED",5124.99623400917
"2013","1","Intl","NED",0
"2013","2","Intl","NED",9708.74362831111
"2013","3","Intl","NED",93932.09460391
"2013","4","Intl","NED",5461.168290925
"2014","1","Intl","NED",0
"2014","2","Intl","NED",0
"2014","3","Intl","NED",334210.250070383
"2014","4","Intl","NED",224735.254707781
"2015","1","Intl","NED",0
"2015","2","Intl","NED",0
"2015","3","Intl","NED",39772.1232100108
"2015","4","Intl","NED",89487.2772225243
"2016","1","Intl","NED",0
"2016","2","Intl","NED",0
"2016","3","Intl","NED",261488.107834961
"2016","4","Intl","NED",108201.975655846
"2017","1","Intl","NED",0
"2017","2","Intl","NED",0
"2017","3","Intl","NED",111054.678151186
"2017","4","Intl","NED",7529.13072211429
"2018","1","Intl","NED",0
"2018","2","Intl","NED",0
"2018","3","Intl","NED",39255.8271399435
"2018","4","Intl","NED",2661.4120094877
"2019","1","Intl","NED",0
"2019","2","Intl","NED",0
"2019","3","Intl","NED",57982.8060776417
"2019","4","Intl","NED",0
"2020","1","Intl","NED",0
"2020","2","Intl","NED",0
"2020","3","Intl","NED",57982.8060776417
"2020","4","Intl","NED",0
"2021","1","Intl","NED",0
"2021","2","Intl","NED",0
"2021","3","Intl","NED",57982.8060776417
"2021","4","Intl","NED",0
"2022","1","Intl","NED",0
"2022","2","Intl","NED",57982.8060776417
"2022","3","Intl","NED",0
"2022","4","Intl","NED",0
