"Year","Quarter","Fleet","Area","Catch_lbs"
1986,1,"Intl","CAR",1983610.33581775
1986,2,"Intl","CAR",1363432.27471806
1986,3,"Intl","CAR",216194.716846987
1986,4,"Intl","CAR",104564.412642111
1987,1,"Intl","CAR",1491251.11421614
1987,2,"Intl","CAR",1025009.7320618
1987,3,"Intl","CAR",162532.230531458
1987,4,"Intl","CAR",78610.0949588071
1988,1,"Intl","CAR",1667671.3164927
1988,2,"Intl","CAR",1146271.95446143
1988,3,"Intl","CAR",181760.359659725
1988,4,"Intl","CAR",87909.9430671533
1989,1,"Intl","CAR",1732590.19989526
1989,2,"Intl","CAR",1190893.87403477
1989,3,"Intl","CAR",188835.902351658
1989,4,"Intl","CAR",91332.0894382407
1990,1,"Intl","CAR",2230264.36747882
1990,2,"Intl","CAR",1532969.6386769
1990,3,"Intl","CAR",243077.667379784
1990,4,"Intl","CAR",117566.580195254
1991,1,"Intl","CAR",2545447.09139445
1991,2,"Intl","CAR",1749610.12015683
1991,3,"Intl","CAR",277429.595539057
1991,4,"Intl","CAR",134181.182270108
1992,1,"Intl","CAR",2453636.66685468
1992,2,"Intl","CAR",1686504.33082271
1992,3,"Intl","CAR",267423.12986454
1992,4,"Intl","CAR",129341.470083154
1993,1,"Intl","CAR",2382056.82513635
1993,2,"Intl","CAR",1637304.00923952
1993,3,"Intl","CAR",259621.605879303
1993,4,"Intl","CAR",125568.196688102
1994,1,"Intl","CAR",2695338.73036375
1994,2,"Intl","CAR",1852637.96518814
1994,3,"Intl","CAR",293766.362826237
1994,4,"Intl","CAR",142082.598644976
1995,1,"Intl","CAR",2914038.96822868
1995,2,"Intl","CAR",2002961.3212472
1995,3,"Intl","CAR",317602.61490953
1995,4,"Intl","CAR",153611.204593487
1996,1,"Intl","CAR",3477179.36504659
1996,2,"Intl","CAR",2390035.22298836
1996,3,"Intl","CAR",378979.578134999
1996,4,"Intl","CAR",183296.694613902
1997,1,"Intl","CAR",5117965.49385148
1997,2,"Intl","CAR",2628773.18547826
1997,3,"Intl","CAR",1308570.72285975
1997,4,"Intl","CAR",296609.363848211
1998,1,"Intl","CAR",4006560.8752702
1998,2,"Intl","CAR",2917460.17112721
1998,3,"Intl","CAR",350633.438906499
1998,4,"Intl","CAR",242198.267055054
1999,1,"Intl","CAR",2610725.42508879
1999,2,"Intl","CAR",4406265.15622128
1999,3,"Intl","CAR",87912.1826815612
1999,4,"Intl","CAR",379620.788852196
2000,1,"Intl","CAR",3716765.0845341
2000,2,"Intl","CAR",2258349.38863424
2000,3,"Intl","CAR",224371.645523056
2000,4,"Intl","CAR",103649.944942716
2001,1,"Intl","CAR",5268563.44556708
2001,2,"Intl","CAR",1028012.37962285
2001,3,"Intl","CAR",466663.514434055
2001,4,"Intl","CAR",114975.068773608
2002,1,"Intl","CAR",4950968.88182992
2002,2,"Intl","CAR",2436024.00880686
2002,3,"Intl","CAR",157841.72843241
2002,4,"Intl","CAR",128377.939125027
2003,1,"Intl","CAR",5793197.76592665
2003,2,"Intl","CAR",523542.377177938
2003,3,"Intl","CAR",191294.330122708
2003,4,"Intl","CAR",523542.377177938
2004,1,"Intl","CAR",3873854.41417747
2004,2,"Intl","CAR",3981096.71151911
2004,3,"Intl","CAR",103959.369871994
2004,4,"Intl","CAR",0
2005,1,"Intl","CAR",5025475.42907929
2005,2,"Intl","CAR",3620975.74584316
2005,3,"Intl","CAR",438906.151011292
2005,4,"Intl","CAR",438906.151011292
2006,1,"Intl","CAR",1154659.86783401
2006,2,"Intl","CAR",5604911.4417776
2006,3,"Intl","CAR",1491435.66261893
2006,4,"Intl","CAR",0
