"Year","Quarter","Fleet","Area","Catch_lbs"
1986,1,"ForHire","FLK",40545.40970375
1986,2,"ForHire","FLK",501184.6052389
1986,3,"ForHire","FLK",802470.3114346
1986,4,"ForHire","FLK",151159.60845
1987,1,"ForHire","FLK",241482.8914611
1987,2,"ForHire","FLK",978771.9854825
1987,3,"ForHire","FLK",608752.1980312
1987,4,"ForHire","FLK",24918.89431605
1988,1,"ForHire","FLK",51123.48709725
1988,2,"ForHire","FLK",523633.61235525
1988,3,"ForHire","FLK",27969.67087605
1988,4,"ForHire","FLK",196057.36656425
1989,1,"ForHire","FLK",252492.06914895
1989,2,"ForHire","FLK",1898385.354699
1989,3,"ForHire","FLK",591836.531389
1989,4,"ForHire","FLK",396205.5550979
1990,1,"ForHire","FLK",367392.0956826
1990,2,"ForHire","FLK",573516.7621833
1990,3,"ForHire","FLK",167285.4058905
1990,4,"ForHire","FLK",54816.022115275
1991,1,"ForHire","FLK",120005.086124145
1991,2,"ForHire","FLK",2463709.1070196
1991,3,"ForHire","FLK",1530429.2634646
1991,4,"ForHire","FLK",132958.254238
1992,1,"ForHire","FLK",511312.9438199
1992,2,"ForHire","FLK",808324.125253
1992,3,"ForHire","FLK",968873.801176
1992,4,"ForHire","FLK",156669.7294074
1993,1,"ForHire","FLK",233324.1706105
1993,2,"ForHire","FLK",519793.8507828
1993,3,"ForHire","FLK",669205.5763641
1993,4,"ForHire","FLK",37344.84354485
1994,1,"ForHire","FLK",89811.45381835
1994,2,"ForHire","FLK",593454.25446535
1994,3,"ForHire","FLK",140622.1022504
1994,4,"ForHire","FLK",298464.884108353
1995,1,"ForHire","FLK",139005.50341875
1995,2,"ForHire","FLK",1039095.291507
1995,3,"ForHire","FLK",1461029.037228
1995,4,"ForHire","FLK",202795.06095425
1996,1,"ForHire","FLK",77739.56172805
1996,2,"ForHire","FLK",1352282.1027021
1996,3,"ForHire","FLK",1439913.756409
1996,4,"ForHire","FLK",43364.6178022
1997,1,"ForHire","FLK",38747.07302302
1997,2,"ForHire","FLK",1629481.4584485
1997,3,"ForHire","FLK",1514417.91862899
1997,4,"ForHire","FLK",84286.24573715
1998,1,"ForHire","FLK",99094.38168145
1998,2,"ForHire","FLK",671336.2635152
1998,3,"ForHire","FLK",656350.2950641
1998,4,"ForHire","FLK",90083.974188875
1999,1,"ForHire","FLK",138747.878221375
1999,2,"ForHire","FLK",449729.2498515
1999,3,"ForHire","FLK",506333.5340786
1999,4,"ForHire","FLK",126835.858072075
2000,1,"ForHire","FLK",83155.900321275
2000,2,"ForHire","FLK",726519.1968505
2000,3,"ForHire","FLK",430859.8328302
2000,4,"ForHire","FLK",250268.52470185
2001,1,"ForHire","FLK",246074.50424615
2001,2,"ForHire","FLK",1233225.612256
2001,3,"ForHire","FLK",717020.81191
2001,4,"ForHire","FLK",135349.53805565
2002,1,"ForHire","FLK",125003.12412915
2002,2,"ForHire","FLK",704266.5655169
2002,3,"ForHire","FLK",821498.92067015
2002,4,"ForHire","FLK",214494.3754464
2003,1,"ForHire","FLK",117321.85484232
2003,2,"ForHire","FLK",603789.3131097
2003,3,"ForHire","FLK",459229.1016984
2003,4,"ForHire","FLK",130618.55537518
2004,1,"ForHire","FLK",166555.4143623
2004,2,"ForHire","FLK",653724.88527765
2004,3,"ForHire","FLK",653926.21006755
2004,4,"ForHire","FLK",69916.29262783
2005,1,"ForHire","FLK",86171.53535653
2005,2,"ForHire","FLK",382356.90052425
2005,3,"ForHire","FLK",363480.82080765
2005,4,"ForHire","FLK",42818.86226045
2006,1,"ForHire","FLK",62469.35467685
2006,2,"ForHire","FLK",294535.67194305
2006,3,"ForHire","FLK",294775.00932075
2006,4,"ForHire","FLK",47416.34543235
2007,1,"ForHire","FLK",34335.60495542
2007,2,"ForHire","FLK",329146.16641891
2007,3,"ForHire","FLK",304761.431481
2007,4,"ForHire","FLK",48542.9160542
2008,1,"ForHire","FLK",82137.7010311
2008,2,"ForHire","FLK",314521.53025196
2008,3,"ForHire","FLK",280460.56730035
2008,4,"ForHire","FLK",47151.73911685
2009,1,"ForHire","FLK",173135.18467615
2009,2,"ForHire","FLK",403219.76107479
2009,3,"ForHire","FLK",392618.49777265
2009,4,"ForHire","FLK",53270.0288009
2010,1,"ForHire","FLK",36159.585359
2010,2,"ForHire","FLK",268780.94918123
