"year","season","Hire_FLK","Hire_NCFL","Hire_NNC","Hire_VBM","Rec_FLK","Rec_NCFL","Rec_NNC","Rec_VBM","yrseas"
1985,"DJF",4462.08964607,129.474757976367,0,0,468466.295868,0,0,0,1985.125
1985,"JJA",253487.379768,90543.4857565754,29257.06578015,8280.86373708737,4452077.511469,603618.1937564,38738.548156,112944.274221,1985.375
1985,"MAM",380811.3713481,80626.6137751924,29257.06578015,95.2184008156551,1537704.54637,559090.195402,38738.548156,0,1985.625
1985,"SON",41469.99248345,1555.48654677644,0,504.592610908244,1443498.353127,0,0,0,1985.875
1986,"DJF",40545.40970375,336.080011148793,0,0.182732868726535,402090.611512,0,0,0,1986.125
1986,"JJA",501184.6052389,28003.4949600136,433124.76217,61035.804922899,1537010.301951,333859.7240897,2549.585587,73390.2164602,1986.375
1986,"MAM",802470.3114346,23703.1179623887,325999.4835591,226.370671640601,2075606.31068,301792.208382,0,0,1986.625
1986,"SON",151159.60845,11438.3387395204,56400.33303885,395.873983180998,1225359.080503,87680.5671073,0,30554.91797537,1986.875
1987,"DJF",241482.8914611,410.387568830972,1667.67886275,0.143361569386949,1556819.6436321,13539.51642,0,0,1987.125
1987,"JJA",978771.9854825,30735.9814075379,663465.07742,7039.84277675695,2192920.157243,107709.61669131,74122.359757,42063.9216652,1987.375
1987,"MAM",608752.1980312,24992.0208294593,84403.8971664,101.43133959464,2961239.86047,15058.2502421,0,0,1987.625
1987,"SON",24918.89431605,5105.76374165536,101125.27123601,17826.4082578787,409899.928155,38859.186421,5418.0049704,10075.850084,1987.875
1988,"DJF",51123.48709725,347.493066752381,0,0.194656069668591,720299.766435,0,0,0,1988.125
1988,"JJA",523633.61235525,34934.7876769059,780784.3100275,9129.20505134083,3018472.4393275,250212.4581415,190913.37725255,29325.04696859,1988.375
1988,"MAM",27969.67087605,16860.7779787943,229488.4860275,99.120370962355,2253282.1258295,27377.977377,11855.57324015,0,1988.625
1988,"SON",196057.36656425,10184.9965411768,104354.25237,85447.6964414885,778641.0013095,43432.684768,0,4241.1161939,1988.875
1989,"DJF",252492.06914895,472.955225893129,0,0.190221108315564,394531.5339685,139949.96468,0,0,1989.125
1989,"JJA",1898385.354699,178013.123952603,1331147.0877,327414.493035015,7785107.073907,244292.9303067,190285.590754,682113.84938503,1989.375
1989,"MAM",591836.531389,210971.062431287,456627.474376,4332.05776075002,7490678.371687,225383.7398493,146559.750462,6273.4199215,1989.625
1989,"SON",396205.5550979,15563.6805544997,181917.43225595,119730.711357332,1972243.64195,261713.066833,1588.61975377,308558.120712,1989.875
1990,"DJF",367392.0956826,782.412098200684,1084.23824595,0.506270272851964,731825.02391,208611.78881,937.60578185,0,1990.125
1990,"JJA",573516.7621833,147658.254868329,1298743.78719,21327.0823537813,12114519.99596,149480.1526736,101752.8888795,146908.50658083,1990.375
1990,"MAM",167285.4058905,115480.25183054,276237.04979,364.462787332098,5174373.576515,49266.637829,13798.1688988,0,1990.625
1990,"SON",54816.022115275,13850.2088845106,174724.46826241,9387.1979052668,2081267.046073,113586.479528,2988.9026996,362516.4740805,1990.875
1991,"DJF",120005.086124145,648.051597877127,260.24549341,0.699437609776718,822934.040007,0,0,0,1991.125
1991,"JJA",2463709.1070196,111893.350011549,1111537.5177668,97117.3102285444,10437840.66811,259559.194478,74717.26633355,313639.77550797,1991.375
1991,"MAM",1530429.2634646,96797.6773328444,338622.774075,680.402799947629,6015731.45949,186323.8080385,188201.12447755,0,1991.625
1991,"SON",132958.254238,10546.2752959259,256499.96511705,61373.8357301758,5694629.64687,11784.1274285,14471.2552727,151146.9576459,1991.875
1992,"DJF",511312.9438199,6204.02533669943,91.23981705,1.30575555206715,2178846.827568,0,0,0,1992.125
1992,"JJA",808324.125253,112571.651669749,1074641.727375,131115.068392337,3838258.76897,172770.8497485,44990.2365305,86939.8196423,1992.375
1992,"MAM",968873.801176,68416.8133962072,405659.141982,296.757019738917,9266735.051138,46074.0224545,20688.1894225,10263.40414,1992.625
1992,"SON",156669.7294074,7686.78254851448,139384.18643,29737.3084998798,794585.2607445,26550.87985054,23482.4336294,412094.036954,1992.875
1993,"DJF",233324.1706105,860.399171017747,0,0.569504014634886,936745.3668875,0,0,0,1993.125
1993,"JJA",519793.8507828,268944.229386085,1026905.0891,724146.530000541,3404811.681513,435571.3721926,275901.149146,698833.83484815,1993.375
1993,"MAM",669205.5763641,120158.213327014,396118.227185,560.450805550837,3461381.714369,275253.2152825,16772.72643,3495.75278625,1993.625
1993,"SON",37344.84354485,1839.58852881972,132715.377112975,17247.3129927656,2073350.4848275,22903.278127,3725.3237701,169619.012954,1993.875
1994,"DJF",89811.45381835,240.088044565333,111.400682975,1.0755566424254,820407.8070305,37237.803076,0,0,1994.125
1994,"JJA",593454.25446535,207710.680923125,989642.46377571,560828.991181604,3825880.585772,632845.96615557,131128.56108995,511981.1736609,1994.375
1994,"MAM",140622.1022504,211341.137759102,584375.24510271,4745.84357165548,3779173.997883,527905.2802617,110141.01901,2273.6182012,1994.625
1994,"SON",298464.884108353,18348.4239391709,135125.56548625,7976.47554023263,1223022.6217795,328116.2027254,22736.48864545,80212.6220714,1994.875
1995,"DJF",139005.50341875,339.489651303156,4838.70464625,0.405615088338943,830452.9544785,191850.8200715,901.12407745,0,1995.125
1995,"JJA",1039095.291507,389658.530537143,1163134.1383,115195.643453758,7321132.018207,573069.102568,139627.752415,529062.748696,1995.375
1995,"MAM",1461029.037228,272612.742988708,359621.49451,1756.98944924968,6059478.972615,882578.7839304,112879.30286,80239.87015,1995.625
1995,"SON",202795.06095425,4841.13629442992,150128.0374417,28804.6314778947,997193.35034,66134.245013,18935.0181871,0,1995.875
1996,"DJF",77739.56172805,8213.61266597888,551.8139517,41.3229860667506,894446.729609,28353.847321,0,0,1996.125
1996,"JJA",1352282.1027021,177884.9419914,627230.730085,49774.1616041145,4717397.531072,424664.0328875,107656.5126912,408494.5506598,1996.375
1996,"MAM",1439913.756409,101592.886758517,226632.78750504,913.59794195611,4144945.655805,627473.5969485,64202.1176915,0,1996.625
1996,"SON",43364.6178022,21409.0312752901,69149.3746074,91288.4268107698,814358.5227255,69800.2141582,24720.906196,77611.635873,1996.875
1997,"DJF",38747.07302302,3872.52335392561,115.9216214,0.245038959642422,822900.2740015,0,0,0,1997.125
1997,"JJA",1629481.4584485,272087.62956013,1305418.09893522,10366.1212941,13662134.7879535,461797.50900645,435856.3212264,149860.531441,1997.375
1997,"MAM",1514417.91862899,149399.90640045,538424.740762,1425.417199,7460291.6129555,691206.77939145,173323.93024,0,1997.625
1997,"SON",84286.24573715,39876.87718173,283838.62279905,98323.94628316,680319.870902,163498.44432,51077.591401,48011.4314108,1997.875
1998,"DJF",99094.38168145,3176.530979,1790.00016905,0,512604.910179,0,0,0,1998.125
1998,"JJA",671336.2635152,136744.265812235,1286262.4415865,755334.5890195,4808404.9029075,168955.447171,281380.66614415,470816.5653517,1998.375
1998,"MAM",656350.2950641,105719.968213435,372007.3119722,1270.2587075,6697606.3521455,187341.433104,82361.99665795,0,1998.625
1998,"SON",90083.974188875,6394.76921355,262721.576268186,22760.0073178,480805.999906,145838.900778,48561.628737,135952.733105,1998.875
1999,"DJF",138747.878221375,16177.86751515,842.74799845,0,2224750.499936,145983.731628,0,0,1999.125
1999,"JJA",449729.2498515,231545.9075945,1408220.89949945,231258.194481,6375713.817896,720427.0119672,765878.84276,241113.9630746,1999.375
1999,"MAM",506333.5340786,185557.2851264,432012.060853,56598.940958,4880668.673071,661322.724832,110560.4360094,25726.903943,1999.625
