Date,Location,Total Number Particpants,Total Number of Boats,Average Time Spent Fishing,Tournament Duration,Fish Type,Fish name,Sex,Boarded,Bycatch,Lenght (mm),Weight (Kg),Distance to coast,Zone
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1675,9.09,,2
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1675,6.81,,2
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1675,10.45,,2
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1625,10,,2
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1625,12.27,,2
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1625,10,,2
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1625,10,,2
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1625,11.36,,2
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1525,10.45,,2
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1525,12.27,,2
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1525,9.54,,2
March-25-06,Club Náutico de Boquerón,132,33,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1502,32.2,,4
Feb-21-04,Club Deportivo del Oeste,104,26,8,1,8835290101,Dolphinfish,U,TRUE,FALSE,1500,21.13,,4
March-10-01,Club Náutico de La Parguera,192,48,8,2,8835290101,Dolphinfish,U,TRUE,FALSE,1500,8.63,,2
April-25-04,Asoc. Pescadores y Dueños de Bote de la Guancha,240,48,8.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1500,27.27,,2
Feb-21-04,Club Deportivo del Oeste,104,26,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1490,21.59,,4
Feb-8-03,Club Náutico de Arecibo,132,33,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1485,25.45,,1
April-12-08,Asoc. Pescadores y Dueños de Bote de la Guancha,140,35,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1485,32.65,30 mi off Ponce,2
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1475,10,,2
March-29-08,Club Náutico de La Parguera,108,27,8.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1473,19.5,,2
April-08-2022,Club Nautico de Boqueron,240,60,7.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1473,34.85,15 mi Coronas Mona,4
March-2-02,Club Náutico de La Parguera,196,49,9,2,8835290101,Dolphinfish,M,TRUE,FALSE,1470,35.45,,2
March-29-08,Club Náutico de La Parguera,108,27,8.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1460,28.12,,2
March-10-01,Club Náutico de La Parguera,192,48,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1450,9.09,,2
March-27-04,Club Náutico de La Parguera,200,50,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1450,28.18,10 mi off Lajas,2
May-14-83,Ponce Yacht and Fishing Club,,23,8.5,2,8835290101,Dolphinfish,M,TRUE,TRUE,1450,21.81,,2
Feb-27-2016,Club Deportivo del Oeste,136,34,7.5,1,8835290101,Dolphinfish,F,TRUE,FALSE,1447,25.58,,4
April-22-06,Asoc. Pescadores y Dueños de Bote de la Guancha,168,42,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1447,21.31,,2
April-5-08,Club Náutico de Boquerón,136,34,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1447,31.75,,4
April-28-84,Light Tackle Anglers,,10,,,8835290101,Dolphinfish,M,FALSE,FALSE,1441,18.18,,5
December,Vistamar Marina,,,,,8835290101,Dolphinfish,U,TRUE,FALSE,1436,20.4,,1
Feb-2-08,Club Deportivo del Oeste,72,18,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1432,26.98,,4
March-20-10,Ponce Yacht and Fishing Club,112,28,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1422,24.49,,2
March-17-2017,Club Deportivo del Oeste,164,41,7.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1422,27.6,,4
March-2-2019,Club Náutico de La Parguera,208,52,7.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1422,24.49,,2
Oct-28-2017,Marina Puerto del Rey,103,21,6.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1420,23.587,30 mi off Fajardo,3
March-25-06,Club Náutico de Boquerón,132,33,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1417,28.46,,4
April-29-06,Club Náutico de La Parguera,168,42,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1417,13.15,,2
March-17-07,Ponce Yacht and Fishing Club,108,27,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1410,26.76,,2
April-2-05,Club Náutico de Boquerón,100,25,8.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1410,22.27,25 mi off Cabo Rojo Lighthouse,4
April-22-06,Asoc. Pescadores y Dueños de Bote de la Guancha,168,42,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1402,22.22,,2
Feb-12-84,Club Náutico de Mayaguez-Locos Adams,,22,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1400,25.9,,4
March-31-01,"Club Pesca Deportiva de Ponce, El Tuque",66,19,9,2,8835290101,Dolphinfish,F,TRUE,FALSE,1400,7.27,,2
March-29-08,Club Náutico de La Parguera,108,27,8.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1397,25.4,,2
March-29-08,Club Náutico de La Parguera,108,27,8.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1397,22.67,,2
March-14-09,Club Náutico de La Parguera,160,40,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1397,21.31,,2
March-13-10,Club Náutico de Boquerón,140,35,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1397,25.4,,4
March-20-10,Ponce Yacht and Fishing Club,112,28,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1397,23.58,,2
April-12-08,Asoc. Pescadores y Dueños de Bote de la Guancha,140,35,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1397,26.3,,2
April-29-2017,Club Náutico de Boquerón,208,52,7.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1397,17.1,,4
Feb-8-03,Club Náutico de La Parguera,116,29,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1390,23.63,17 mi Faro Cabo Rojo,2
April-30-05,Asoc. Pescadores y Dueños de Bote de la Guancha,128,32,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1390,28.63,,2
May-02-86,Ponce Yacht and Fishing Club,,,,2,8835290101,Dolphinfish,U,TRUE,TRUE,1390,22.72,Off Playa Santa,2
Oct-23-04,Marina Puerto del Rey,140,35,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1390,25.45,,3
Feb-22-03,Cangrejos Yacht Club,144,36,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1385,24.09,,1
Jan-19-08,Cangrejos Yacht Club,80,20,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1384,19.05,,1
Feb-3-07,Club Deportivo del Oeste,88,22,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1384,23.13,,4
March-29-08,Club Náutico de La Parguera,108,27,8.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1384,28.57,,2
March-7-09,Ponce Yacht and Fishing Club,80,20,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1384,24.49,,2
March-20-10,Ponce Yacht and Fishing Club,112,28,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1384,12.24,,2
Dec-20-08,San Juan Bay Marina,104,26,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1384,23.81,,1
March-10-01,Club Náutico de La Parguera,192,48,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1380,26.81,,2
March-25-01,Vista Bahia Rest.-Popa Marina,135,38,9,1,8835290101,Dolphinfish,M,TRUE,FALSE,1380,21.81,,4
March-5-2016,Club de Pesca Deportiva de Ponce,,12,9.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1380,24.04,22 mi Off Dorado,2
March-26-2022,Ponce Yacht and Fishing Club,165,42,,2,8835290101,Dolphinfish,F,TRUE,FALSE,1380,23.22,,2
April-5-03,Club Náutico de La Parguera,156,39,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1380,20.9,12 mi off Lajas,2
Arpil-14-84,Playa Santa,,,,1,8835290101,Dolphinfish,M,TRUE,FALSE,1380,22.72,,2
May-5-84,Ponce Yacht and Fishing Club,,49,,,8835290101,Dolphinfish,U,TRUE,FALSE,1380,22.27,,2
Sept-27-85,Club Deportivo del Oeste,,,,2,8835290101,Dolphinfish,M,TRUE,TRUE,1380,23.86,,4
May-6-00,Club Náutico de La Parguera,124,31,10.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1375,9.54,,2
Jan-13-07,Cangrejos Yacht Club,156,39,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1371,21.77,5 mi off Los Pinos,1
Jan-10-09,Cangrejos Yacht Club,332,83,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1371,23.58,,1
Feb-7-09,Club Deportivo del Oeste,55,11,8,1,8835290101,Dolphinfish,M,TRUE,FALSE,1371,19.73,,4
Feb-02-2013,Cangrejos Yacht Club,116,29,,2,8835290101,Dolphinfish,F,TRUE,FALSE,1371,21.77,,1
Feb-8-2014,Club Deportivo del Oeste,148,37,7.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1371,22.23,,4
Feb-27-2016,Club Deportivo del Oeste,136,34,7.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1371,21.68,,4
March-29-08,Club Náutico de La Parguera,108,27,8.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1371,24.94,,2
March-29-08,Club Náutico de La Parguera,108,27,8.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1371,24.94,,2
March-29-08,Club Náutico de La Parguera,108,27,8.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1371,24.04,,2
March-29-08,Club Náutico de La Parguera,108,27,8.5,2,8835290101,Dolphinfish,F,TRUE,FALSE,1371,20.41,,2
March-14-09,Club Náutico de La Parguera,160,40,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1371,22.67,,2
March-12-11,Ponce Yacht and Fishing Club,140,39,8,2,8835290101,Dolphinfish,F,TRUE,FALSE,1371,24.06,,2
March-26-11,Club Náutico de Guayama,72,18,6,1,8835290101,Dolphinfish,M,TRUE,FALSE,1371,19.96,,2
March-2-2019,Club Náutico de La Parguera,208,52,7.5,2,8835290101,Dolphinfish,M,TRUE,FALSE,1371,21.72,,2
March-26-2019,Club Deportivo del Oeste,124,31,6.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1371,18.14,,4
March-26-2019,Club Deportivo del Oeste,124,31,6.5,1,8835290101,Dolphinfish,M,TRUE,FALSE,1371,19.05,,4
April-12-08,Asoc. Pescadores y Dueños de Bote de la Guancha,140,35,8,2,8835290101,Dolphinfish,M,TRUE,FALSE,1371,24.04,,2
