area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Atlantic, Northwest",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Germany",Industrial,Discards,Unreported,bottom trawl,,191.8652085027
"Atlantic, Northwest",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Portugal",Industrial,Discards,Unreported,bottom trawl,,863.3123597575
"Atlantic, Northwest",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Spain",Industrial,Discards,Unreported,bottom trawl,,584.8083349304
"Atlantic, Northwest",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Spain",Industrial,Landings,Reported,bottom trawl,Direct human consumption,2.8991214056,1454.1076694326541
"Atlantic, Northwest",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Spain",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.0014510117,1.0253118662835898e-05
"Atlantic, Northwest",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Spain",Industrial,Landings,Reported,bottom trawl,Other,0.0014510117,1.0253118662835898e-05
"Atlantic, Northwest",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Discards,Unreported,purse seine,,0.0000004746
"Atlantic, Northwest",high_seas,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Discards,Unreported,gillnet,,0.0000355732
"Atlantic, Northwest",high_seas,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0000307356,4.490600585307629e-06
"Atlantic, Northwest",high_seas,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0001035306,1.5126233550509907e-05
"Atlantic, Northwest",high_seas,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0039196039,0.0005726697483263374
"Atlantic, Northwest",high_seas,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0000275003,4.0179057868542045e-06
"Atlantic, Northwest",high_seas,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts","USA",Industrial,Landings,Reported,small scale trammel net,Direct human consumption,0.0001698549,2.481647691880535e-05
"Atlantic, Northwest",high_seas,1950,"Scorpaeniformes","Scorpionfishes, flatheads","Medium demersals (30 - 89 cm)","Scorpionfishes","Germany",Industrial,Discards,Unreported,bottom trawl,,16.1964353048
"Atlantic, Northwest",high_seas,1950,"Scorpaeniformes","Scorpionfishes, flatheads","Medium demersals (30 - 89 cm)","Scorpionfishes","Portugal",Industrial,Discards,Unreported,bottom trawl,,74.8993509894
"Atlantic, Northwest",high_seas,1950,"Scorpaeniformes","Scorpionfishes, flatheads","Medium demersals (30 - 89 cm)","Scorpionfishes","Spain",Industrial,Discards,Unreported,bottom trawl,,34.8926278116
