area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Australia",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Australia",Industrial,Landings,Reported,longline,Fishmeal and fish oil,0.0033732018,3.438170294422391e-05
"Australia",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Australia",Industrial,Landings,Reported,longline,Direct human consumption,6.7396571045,10402.540464862715
"Australia",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Australia",Industrial,Landings,Reported,longline,Other,0.0033732018,3.438170294422391e-05
"Bahamas",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Bahamas",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,48.6651051433,8.26272824279673
"Barbados",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Barbados",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,0.0091585586,0.0004846885766198183
"Bermuda (UK)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Bermuda (UK)",Artisanal,Landings,Reported,small scale lines,Direct human consumption,1.5110855138,3199.4027251100892
"Brazil (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Brazil",Industrial,Landings,Reported,lines,Direct human consumption,6.8131800000,36295.730577200164
"Brazil (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Brazil",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,143.6919753953,765487.6614226857
"Brazil (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Brazil",Artisanal,Landings,Reported,small scale lines,Direct human consumption,360.2926129868,1919380.3201917268
"Brazil (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Brazil",Artisanal,Landings,Reported,small scale lines,Fishmeal and fish oil,0.1803266331,0.003332783849926758
"Brazil (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Brazil",Industrial,Landings,Reported,lines,Fishmeal and fish oil,0.0034100000,6.302337448e-05
"Brazil (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Brazil",Artisanal,Landings,Reported,small scale gillnets,Fishmeal and fish oil,0.0719179056,0.0013291815532696935
"Brazil (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Brazil",Industrial,Landings,Reported,lines,Other,0.0034100000,6.302337448e-05
"Brazil (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Brazil",Artisanal,Landings,Reported,small scale gillnets,Other,0.0719179056,0.0013291815532696935
"Brazil (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Brazil",Artisanal,Landings,Reported,small scale lines,Other,0.1803266331,0.003332783849926758
"Cape Verde",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Cape Verde",Artisanal,Landings,Reported,small scale lines,Other,0.0023084375,2.8473916582501098e-05
"Cape Verde",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Cape Verde",Industrial,Landings,Reported,hand lines,Other,0.0009120416,1.1249771976333734e-05
"Cape Verde",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Cape Verde",Artisanal,Landings,Reported,small scale encircling nets,Other,0.0023084375,2.8473916582501098e-05
"Cape Verde",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Cape Verde",Artisanal,Landings,Reported,small scale encircling nets,Direct human consumption,4.6122581628,4620.903028930861
"Cape Verde",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Cape Verde",Industrial,Landings,Reported,hand lines,Direct human consumption,1.8222590657,1825.6745695521677
"Cape Verde",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Cape Verde",Artisanal,Landings,Reported,small scale lines,Direct human consumption,4.6122581628,4620.903028930861
"Cape Verde",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Cape Verde",Industrial,Landings,Reported,hand lines,Fishmeal and fish oil,0.0009120416,1.1249771976333734e-05
"Cape Verde",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Cape Verde",Artisanal,Landings,Reported,small scale lines,Fishmeal and fish oil,0.0023084375,2.8473916582501098e-05
"Cape Verde",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Cape Verde",Artisanal,Landings,Reported,small scale encircling nets,Fishmeal and fish oil,0.0023084375,2.8473916582501098e-05
"Cayman Isl. (UK)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Cayman Isl. (UK)",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,0.0500000000,66.8485738
"Cayman Isl. (UK)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Cayman Isl. (UK)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,0.0250000000,33.4242869
"Cayman Isl. (UK)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Cayman Isl. (UK)",Artisanal,Landings,Unreported,artisanal fishing gear,Direct human consumption,0.0187500000,25.068215175
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Unreported,purse seine,Direct human consumption,3.3240939675,6589.624240364011
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Taiwan",Industrial,Landings,Unreported,purse seine,Other,0.0016637107,1.9329589784157738e-05
"China",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","China",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,27.5268144419,50568.63565128267
