"","Atlantic, Northwest","Atlantic, Western Central"
"1950",0,0
"1951",0,0
"1952",0,0
"1953",0,0
"1954",0,0
"1955",0,0
"1956",0,0
"1957",0,0
"1958",0,0
"1959",0,0
"1960",0,0
"1961",0,0
"1962",0,0
"1963",0,0
"1964",0,0
"1965",0,0
"1966",0,0
"1967",0,0
"1968",0,0
"1969",0,0
"1970",0,0
"1971",0,0
"1972",0,0
"1973",0,0
"1974",0,0
"1975",0,0
"1976",0,0
"1977",0,0
"1978",0,0
"1979",0,0
"1980",0,0
"1981",0,0
"1982",0,0
"1983",0,0
"1984",0,0
"1985",0,14037.1293841916
"1986",0,8748.39892302825
"1987",0,0
"1988",0,0
"1989",0,0
"1990",0,0
"1991",0,0
"1992",0,0
"1993",0,0
"1994",0,0
"1995",0,0
"1996",0,0
"1997",0,0
"1998",0,0
"1999",0,43168.2961761075
"2000",0,30284.6272837277
"2001",0,164272.222881986
"2002",0,22147.4767983017
"2003",0,137103.181230006
"2004",0,66058.2584502493
"2005",0,115171.86321673
"2006",0,170522.101015503
"2007",14687.5267296155,330838.61950292
"2008",28552.636275805,340863.718725828
"2009",18719.1208082691,662720.660699289
"2010",4510.08523048853,232093.837497338
"2011",21589.4243267255,300498.223641523
"2012",72398.8119407753,1059210.39202063
"2013",34741.6042914048,2471791.39588223
"2014",27922.9528866723,1247462.98324354
"2015",90313.638061427,710059.125238155
"2016",15319.4329502321,1094893.89130093
"2017",34806.9328895455,1374259.7391039
"2018",29328.3578529739,885814.753894232
"2019",21870.6210508072,632747.156631697
