FIN,NMFS,lat,lon,area
0,NA,,,
1,2481,24,81,
2,2482,24,82,
52,,,,CAR
186,,,,CAR
330,,,,NED
340,,,,NED
350,,,,NED
469,,,,NED
500,,,,NED
513,4369,43,69,
514,4270,42,70,
521,4169,41,69,
524,,,,NED
525,4067,40,67,
526,4069,40,69,
533,3971,39,71,
534,3970,39,70,
537,4070,40,70,
538,,,,VBM
539,4171,41,71,
541,3969,39,69,
542,3967,39,67,
543,,,,VBM
561,4167,41,67,
562,,,,VBM
600,,,,NED
611,4172,41,72,
612,4073,40,73,
613,4072,40,72,
614,3974,39,74,
615,3973,39,73,
616,3972,39,72,
621,3874,38,74,
622,3873,38,73,
623,3872,38,72,
624,3870,38,70,
625,,,,VBM
626,3774,37,74,
627,3773,37,73,
628,3772,37,72,
629,3771,37,71,
631,3675,36,75,
632,3674,36,74,
633,3673,36,73,
634,3672,36,72,
635,3575,35,75,
636,3574,35,74,
637,3573,35,73,
639,3570,35,70,
700,3477,34,77,
701,3476,34,76,
702,3475,34,75,
706,3379,33,79,
707,3378,33,78,
708,3377,33,77,
712,3280,32,80,
713,3279,32,79,
714,3278,32,78,
717,3181,31,81,
718,3180,31,80,
719,3179,31,79,
720,3178,31,78,
722,3081,30,81,
723,3080,30,80,
727,2981,29,81,
728,2980,29,80,
730,2978,29,78,
732,2880,28,80,
734,2878,28,78,
736,2780,27,80,
740,2680,26,80,
741,2679,26,79,
744,2580,25,80,
745,2579,25,79,
748,2480,24,80,
799,,,,NCA
800,,,,NED
