"Year","Region Name","Pounds","Dollars","Collection","Metric Tons"
"2000","Gulf","582,576","689,637","Commercial","264"
"2000","Gulf","5,641,491","","Recreational","2,559"
"2000","New England","6,545","12,414","Commercial","3"
"2000","South Atlantic","537,077","821,743","Commercial","244"
"2000","South Atlantic","16,049,049","","Recreational","7,280"
"2000","Middle Atlantic","36,048","65,004","Commercial","16"
"2000","Middle Atlantic","1,433,991","","Recreational","650"
"1980","Gulf","94,984","55,676","Commercial","43"
"1980","New England","200","54","Commercial","0"
"1980","South Atlantic","76,042","45,852","Commercial","34"
"1980","Middle Atlantic","400","256","Commercial","0"
"1981","Gulf","73,075","46,951","Commercial","33"
"1981","Gulf","1,559,544","","Recreational","707"
"1981","South Atlantic","59,037","50,998","Commercial","27"
"1981","South Atlantic","8,421,898","","Recreational","3,820"
"1982","Gulf","162,457","115,805","Commercial","74"
"1982","Gulf","4,197,503","","Recreational","1,904"
"1982","South Atlantic","143,960","124,832","Commercial","65"
"1982","South Atlantic","7,573,035","","Recreational","3,435"
"1982","Middle Atlantic","200","78","Commercial","0"
"1982","Middle Atlantic","2,097","","Recreational","1"
"1983","Gulf","190,808","136,589","Commercial","87"
"1983","Gulf","2,162,936","","Recreational","981"
"1983","New England","400","86","Commercial","0"
"1983","South Atlantic","127,986","121,512","Commercial","58"
"1983","South Atlantic","9,134,022","","Recreational","4,143"
"1983","Middle Atlantic","1,400","1,102","Commercial","1"
"1983","Middle Atlantic","45,927","","Recreational","21"
"1984","Gulf","282,976","231,023","Commercial","128"
"1984","Gulf","1,189,573","","Recreational","540"
"1984","New England","400","435","Commercial","0"
"1984","South Atlantic","158,901","166,838","Commercial","72"
"1984","South Atlantic","7,265,430","","Recreational","3,296"
"1984","Middle Atlantic","1,700","2,186","Commercial","1"
"1985","Gulf","269,477","266,805","Commercial","122"
"1985","Gulf","2,542,089","","Recreational","1,153"
"1985","New England","4,800","4,822","Commercial","2"
"1985","South Atlantic","142,684","169,706","Commercial","65"
"1985","South Atlantic","6,684,821","","Recreational","3,032"
"1985","Middle Atlantic","5,000","5,949","Commercial","2"
"1985","Middle Atlantic","113,666","","Recreational","52"
"1986","Gulf","492,212","452,600","Commercial","223"
"1986","Gulf","5,540,003","","Recreational","2,513"
"1986","New England","200","213","Commercial","0"
"1986","South Atlantic","189,747","231,193","Commercial","86"
"1986","South Atlantic","6,190,187","","Recreational","2,808"
"1986","Middle Atlantic","4,200","5,640","Commercial","2"
"1986","Middle Atlantic","125,653","","Recreational","57"
"1987","Gulf","403,703","467,265","Commercial","183"
"1987","Gulf","4,209,638","","Recreational","1,909"
"1987","New England","1,100","1,438","Commercial","0"
"1987","South Atlantic","212,905","270,944","Commercial","97"
"1987","South Atlantic","6,883,546","","Recreational","3,122"
"1987","Middle Atlantic","13,400","16,946","Commercial","6"
"1987","Middle Atlantic","121,433","","Recreational","55"
"1988","Gulf","491,610","541,686","Commercial","223"
"1988","Gulf","1,014,312","","Recreational","460"
"1988","New England","17,800","19,706","Commercial","8"
"1988","New England","2,196","","Recreational","1"
"1988","South Atlantic","212,709","306,469","Commercial","96"
"1988","South Atlantic","3,134,070","","Recreational","1,422"
"1988","Middle Atlantic","26,600","44,114","Commercial","12"
"1988","Middle Atlantic","130,240","","Recreational","59"
"1989","Gulf","1,029,628","1,016,027","Commercial","467"
