"","int_catch"
"1950",1345027.25
"1951",1467924.72
"1952",1510406.24
"1953",2001464.93
"1954",2069754.18
"1955",2130341.14
"1956",2428644.39
"1957",2582426.93
"1958",2969488.16
"1959",3375022.13
"1960",3089749.51
"1961",3917345.87
"1962",3260354.15
"1963",3632132.08
"1964",4021036.55
"1965",3665205.01
"1966",3739143.37
"1967",4826409.92
"1968",4984714.7
"1969",5679180.02
"1970",5986487.18
"1971",6687071.39
"1972",7019798.75
"1973",5998656.76
"1974",5966109.2
"1975",6277046.89
"1976",6878850.24
"1977",8066091.07
"1978",8143920.26
"1979",6910908.57
"1980",7287988.64
"1981",6991141.65
"1982",7723420.28
"1983",7857519.22
"1984",7571172.93
"1985",7726601.72
"1986",6336885.34
"1987",5200426.75
"1988",5897692.94
"1989",6049085.71
"1990",6879410.35
"1991",7394509
"1992",7690428.72
"1993",7666749.31
"1994",8126076.34
"1995",8498525.25
"1996",9827383.5
"1997",13268452.4
"1998",11457677.75
"1999",11155292.73
"2000",9808513.43
"2001",10596305.19
"2002",11329031.4
"2003",10715135.71
"2004",11735993.74
"2005",13462624.06
"2006",12200216.31
"2007",11366754.87
"2008",11420113.7
"2009",12173338.64
"2010",12248752.23
"2011",12738645.28
"2012",11837487.53
"2013",16570646.36
"2014",17344390.48
"2015",20178739.99
"2016",20620209.39
"2017",22596964.4
"2018",23396467.87
"2019",21845902.99
