"","Year","Quarter","Fleet","Area","Catch_lbs"
"1","1986","1","Intl","CAR",1983610.33581775
"2","1986","2","Intl","CAR",1363432.27471806
"3","1986","3","Intl","CAR",216194.716846987
"4","1986","4","Intl","CAR",104564.412642111
"5","1987","1","Intl","CAR",1491251.11421614
"6","1987","2","Intl","CAR",1025009.7320618
"7","1987","3","Intl","CAR",162532.230531458
"8","1987","4","Intl","CAR",78610.0949588071
"9","1988","1","Intl","CAR",1667671.3164927
"10","1988","2","Intl","CAR",1146271.95446143
"11","1988","3","Intl","CAR",181760.359659725
"12","1988","4","Intl","CAR",87909.9430671533
"13","1989","1","Intl","CAR",1732590.19989526
"14","1989","2","Intl","CAR",1190893.87403477
"15","1989","3","Intl","CAR",188835.902351658
"16","1989","4","Intl","CAR",91332.0894382407
"17","1990","1","Intl","CAR",2230264.36747882
"18","1990","2","Intl","CAR",1532969.6386769
"19","1990","3","Intl","CAR",243077.667379784
"20","1990","4","Intl","CAR",117566.580195254
"21","1991","1","Intl","CAR",2545447.09139445
"22","1991","2","Intl","CAR",1749610.12015683
"23","1991","3","Intl","CAR",277429.595539057
"24","1991","4","Intl","CAR",134181.182270108
"25","1992","1","Intl","CAR",2453636.66685468
"26","1992","2","Intl","CAR",1686504.33082271
"27","1992","3","Intl","CAR",267423.12986454
"28","1992","4","Intl","CAR",129341.470083154
"29","1993","1","Intl","CAR",2382056.82513635
"30","1993","2","Intl","CAR",1637304.00923952
"31","1993","3","Intl","CAR",259621.605879303
"32","1993","4","Intl","CAR",125568.196688102
"33","1994","1","Intl","CAR",2695338.73036375
"34","1994","2","Intl","CAR",1852637.96518814
"35","1994","3","Intl","CAR",293766.362826237
"36","1994","4","Intl","CAR",142082.598644976
"37","1995","1","Intl","CAR",2914038.96822868
"38","1995","2","Intl","CAR",2002961.3212472
"39","1995","3","Intl","CAR",317602.61490953
"40","1995","4","Intl","CAR",153611.204593487
"41","1996","1","Intl","CAR",3477179.36504659
"42","1996","2","Intl","CAR",2390035.22298836
"43","1996","3","Intl","CAR",378979.578134999
"44","1996","4","Intl","CAR",183296.694613902
"45","1997","1","Intl","CAR",5117965.49385148
"46","1997","2","Intl","CAR",2628773.18547826
"47","1997","3","Intl","CAR",1308570.72285975
"48","1997","4","Intl","CAR",296609.363848211
"49","1998","1","Intl","CAR",4006560.8752702
"50","1998","2","Intl","CAR",2917460.17112721
"51","1998","3","Intl","CAR",350633.438906499
"52","1998","4","Intl","CAR",242198.267055054
"53","1999","1","Intl","CAR",2610725.42508879
"54","1999","2","Intl","CAR",4406265.15622128
"55","1999","3","Intl","CAR",87912.1826815612
"56","1999","4","Intl","CAR",379620.788852196
"57","2000","1","Intl","CAR",3716765.0845341
"58","2000","2","Intl","CAR",2258349.38863424
"59","2000","3","Intl","CAR",224371.645523056
"60","2000","4","Intl","CAR",103649.944942716
"61","2001","1","Intl","CAR",5268563.44556708
"62","2001","2","Intl","CAR",1028012.37962285
"63","2001","3","Intl","CAR",466663.514434055
"64","2001","4","Intl","CAR",114975.068773608
"65","2002","1","Intl","CAR",4950968.88182992
"66","2002","2","Intl","CAR",2436024.00880686
"67","2002","3","Intl","CAR",157841.72843241
"68","2002","4","Intl","CAR",128377.939125027
"69","2003","1","Intl","CAR",5793197.76592665
"70","2003","2","Intl","CAR",523542.377177938
"71","2003","3","Intl","CAR",191294.330122708
"72","2003","4","Intl","CAR",523542.377177938
"73","2004","1","Intl","CAR",3873854.41417747
"74","2004","2","Intl","CAR",3981096.71151911
"75","2004","3","Intl","CAR",103959.369871994
"76","2004","4","Intl","CAR",0
"77","2005","1","Intl","CAR",5025475.42907929
"78","2005","2","Intl","CAR",3620975.74584316
"79","2005","3","Intl","CAR",438906.151011292
"80","2005","4","Intl","CAR",438906.151011292
"81","2006","1","Intl","CAR",1154659.86783401
"82","2006","2","Intl","CAR",5604911.4417776
"83","2006","3","Intl","CAR",1491435.66261893
"84","2006","4","Intl","CAR",0
"85","2007","1","Intl","CAR",2021760.66585901
"86","2007","2","Intl","CAR",1946880.64119756
"87","2007","3","Intl","CAR",898560.295937337
"88","2007","4","Intl","CAR",3070081.01111923
"89","2008","1","Intl","CAR",3289151.67117335
"90","2008","2","Intl","CAR",2983399.54399386
"91","2008","3","Intl","CAR",1542658.45986018
"92","2008","4","Intl","CAR",370608.639005448
"93","2009","1","Intl","CAR",7006586.52389049
"94","2009","2","Intl","CAR",60985.7627804782
"95","2009","3","Intl","CAR",1585629.83229243
"96","2009","4","Intl","CAR",101642.937967464
"97","2010","1","Intl","CAR",1118948.6934337
"98","2010","2","Intl","CAR",4553634.68284324
"99","2010","3","Intl","CAR",2837913.35291156
"100","2010","4","Intl","CAR",622719.272867451
"101","2011","1","Intl","CAR",127378.801074042
