"","Brazil.EEZ","Canadian.EEZ","Eastern.Central.Atlantic.EEZs","Mediterranean.Sea.EEZs","Northeast.Atlantic.EEZs","other.oceans","Southeast.Atlantic.EEZs","Southwest.Atlantic.EEZs","United.States.EEZ","Western.Central.Atlantic.EEZs"
"1950",1127242.21834876,NA,677552.519551471,26162262.4817283,1173440.82299665,19331386.8117195,NA,NA,1548245.27843208,1345027.24919263
"1951",1060733.69482481,NA,693004.437614786,25410829.6741141,1187385.96603332,21573930.1991481,NA,NA,1721403.29493574,1467924.72430365
"1952",1128991.7047049,NA,708466.732896752,30206350.0419889,1193045.14933491,22569230.2626848,NA,NA,1871779.04494001,1510406.23525291
"1953",1111007.7850064,NA,723939.406022159,31275619.0547862,1141503.60944204,25904814.6581946,NA,NA,2024534.51013281,2001464.93123635
"1954",1090491.51840431,NA,739422.457542162,31383839.5980885,1269522.95137807,32505789.3179163,NA,NA,2177865.29020703,2069754.18120179
"1955",1190424.21110667,NA,754915.887944423,30056209.9865662,1405542.89617431,34571429.8247892,NA,NA,2309815.24418551,2130341.13758806
"1956",1240102.6517109,NA,768059.874972169,28796239.8247436,1337895.8215349,27224214.050479,NA,NA,2477754.82112903,2428644.38664491
"1957",1239782.58172727,NA,768849.91704612,26905566.5370476,1390840.28193306,36777408.103012,NA,NA,2663494.32703891,2582426.92853669
"1958",1331958.78879744,NA,786646.594014117,26815120.8620796,1507562.08954745,51577361.1079918,NA,NA,2830723.92049657,2969488.15803836
"1959",1575558.75674971,NA,779742.437192318,26565413.6295022,1390871.92543453,56670221.2812028,NA,NA,3005378.5144702,3375022.13120357
"1960",1799336.37485973,NA,799630.085809717,26849906.5215427,1180276.96923768,33467257.7353808,NA,NA,3171483.66990758,3089749.51305463
"1961",1800135.86960216,NA,830572.894739784,27971976.539346,1181501.45650136,66924614.0326499,NA,NA,3310437.02031052,3917345.87258583
"1962",2193148.7499631,NA,851074.208677804,29138388.9268769,1222172.27106756,47655154.8583179,NA,NA,3422729.81210124,3260354.14510428
"1963",2554416.08521771,NA,834968.65599205,29981373.9483646,1299825.64571693,48431609.5219111,NA,NA,3526260.87521756,3632132.08356769
"1964",2921992.95007644,NA,848346.150452336,32252220.8175301,1295364.84366092,72285205.0783485,NA,NA,3666072.43142554,4021036.54558492
"1965",3074507.4934287,NA,926232.225149482,33643063.649826,1325786.15354839,56031806.080081,NA,NA,3787555.06696664,3665205.00746781
