"","GULF","FLK","NCFL","NNC","VBM"
"1981",86690.2426994,9297280.0695334,397208.2222558,256755.2412348,1400.2472808
"1982",506522.8089879,8770130.8933861,1804106.0890532,105945.6024122,21476.514652
"1983",186739.31133413,11020668.1542857,161154.41246869,132916.562253,10835.4138459
"1984",196420.873991942,7738131.0319256,560738.4945957,NA,4203.047854
"1985",488703.54758511,8642824.26554807,1335698.0395805,135991.2278723,121825.13170268
"1986",2993356.67832122,7261665.1083548,800427.90827817,819741.8432177,165603.32737486
"1987",1794064.07509709,8688143.450732,222870.63200561,928534.61054981,77107.6487795
"1988",848972.225919874,7482403.227007,383415.99033512,1317395.9989177,128242.37524739
"1989",821701.7902242,21363750.8567865,1485091.50390732,2310147.79932952,1448423.1584419
"1990",1013588.88572651,20769437.0901611,590116.43531521,1868505.51121372,540504.42314532
"1991",708665.5974628,27361817.3771471,683219.7705317,1984141.1428597,623959.58766809
"1992",587554.397142006,18337260.3773398,434910.09619283,1708845.9153694,670446.96415227
"1993",1342088.04357856,11310449.6434911,1133996.15395566,1852249.29342705,1613903.9699439
"1994",1120238.82577517,10664594.4529226,2146584.82852253,1978889.17183377,1168019.12984208
"1995",1437958.05551006,18407180.5098518,2217611.2769844,1944877.5576655,755101.206212969
"1996",233696.974961217,13466890.0699156,1431542.2625998,1119708.35039754,628082.6179286
"1997",534198.947759065,25694527.7449666,1783394.39772721,2789729.30553272,307987.44762806
"1998",187467.538227567,14111153.6504695,872444.78351937,2334138.36936444,1386134.1535015
"1999",1269302.24974027,14983596.5953654,2006097.55035433,3329557.66161381,812248.8176746
"2000",464421.19765907,14851128.2264396,3153977.54747907,3966536.31403612,1611495.5086663
"2001",1158937.67163015,14051921.9453242,4704791.31062753,3399428.6885184,406958.51354647
"2002",1443863.36787528,9934180.90820185,4477725.55373537,3877103.5849964,1900762.84605132
"2003",731573.65729064,11637256.7894947,2819432.54082248,1797094.264717,960470.97666978
"2004",908085.855336068,7791453.97826096,2126124.37614673,1709630.8233039,342049.36299199
"2005",629045.64956703,5539300.4535544,2633842.10564524,4057841.0956546,527257.004477094
"2006",974456.168658475,9240521.3507906,2235190.61866237,3405781.6368626,1351212.51678539
"2007",1664540.68055631,8919139.38462618,2890193.36219785,4002061.07643874,321677.42208293
"2008",609834.353639089,8836762.85045631,2883961.88522265,1844431.04997,210411.338134543
"2009",1558566.92197731,7826030.42246734,4263690.48987389,3287597.6760791,1714181.91944482
"2010",116591.892123457,4131671.55550813,3673870.62489149,2494914.65809411,837461.268449423
"2011",1181405.37674027,6865647.5010235,1926643.10322044,3640335.60049614,2644254.78120066
"2012",540023.619420713,6772405.49544496,3483029.42429493,2319017.8252645,1063581.59947797
"2013",1035301.99158598,10738949.108778,2458826.70971709,1181142.56563807,380557.049340412
"2014",576882.712477367,10837528.8649402,1482676.03034625,2206400.37390511,2097090.30742976
"2015",941038.551641962,13823753.7413661,1744755.44571849,4880103.6495547,4923664.23484719
"2016",759669.914725987,5843935.0895459,4826676.1535626,2941227.42543,2381964.52601359
"2017",909103.079729247,6692720.77184142,2459118.35206174,1636405.00683657,1858007.9102446
"2018",559509.924974792,8337431.81875223,2711420.01468478,2812811.78741168,2943336.19562679
"2019",1498252.48796495,5326694.31492061,2383107.50416951,2685342.3095552,1534139.63868578
"2020",571160.869595493,3817344.44767798,2277715.7551615,1756746.96100453,740720.622479336
"2021",1237461.63279869,4897437.8269989,1575401.45680213,1468433.4249548,1184266.79007656
"2022",538187.86666212,4455133.58099383,2792124.54661755,639347.88106115,1224792.45774991
"2023",313292.284878766,3320333.11153765,2757973.89184366,1456443.777011,945218.906092001
"2024",706542.806357633,4033554.70947363,1444091.25104453,612865.34593443,1365359.08051147
