"","Hire_FLK","Hire_NCFL","Hire_NNC","Hire_VBM","Rec_FLK","Rec_NCFL","Rec_NNC","Rec_VBM"
"1981",354639.5251834,74702.5028318,256755.2412348,1400.2472808,8942640.54435,322505.719424,NA,NA
"1982",347458.2219391,92271.4231978,27578.4417102,2749.224384,8422672.671447,1711834.6658554,78367.160702,18727.290268
"1983",1020005.82364672,41784.04118469,88690.529826,5379.1766018,10000662.330639,119370.371284,44226.032427,5456.2372441
"1984",1021086.7701708,74658.8118382,NA,4203.047854,6717044.2617548,486079.6827575,NA,0
"1985",717522.99748707,172989.6504221,58514.1315603,8880.85748168,7925301.268061,1162708.3891584,77477.096312,112944.274221
"1986",1562353.9804728,63555.89227917,817192.2576307,61658.19293929,5699311.127882,736872.015999,2549.585587,103945.13443557
"1987",1774558.6537199,61243.5786512,848994.24582241,24967.8770303,6913584.7970121,161627.05335441,79540.3647274,52139.7717492
"1988",826480.603801,62392.87004862,1114627.048425,94676.2120849,6655922.623206,321023.1202865,202768.9504927,33566.16316249
"1989",3398703.5469835,405140.01342832,1970776.2325779,451477.76842337,17965047.309803,1079951.490479,339371.56675162,996945.39001853
"1990",868572.58209805,277783.16528461,1749965.55073582,31079.44248399,19900864.508063,312333.2700306,118539.9604779,509424.98066133
"1991",4268773.74815507,225552.6405867,1706751.4967759,159172.85451422,23093043.628992,457667.129945,277389.6460838,464786.73315387
"1992",2548407.3816148,189514.34413929,1619685.055787,161149.70341597,15788852.995725,245395.75205354,89160.8595824,509297.2607363
"1993",1343093.5755611,391254.32564156,1555850.09408095,741955.3693555,9967356.06793,742741.8283141,296399.1993461,871948.6005884
"1994",1131831.74911655,437642.71894436,1713981.97901092,573551.71590858,9532762.703806,1708942.10957817,264907.19282285,594467.4139335
"1995",2848691.6774398,667475.298152,1673435.4842034,145798.587366969,15558488.832412,1550135.9788324,271442.0734621,609302.618846
"1996",2892436.2563426,309604.4186056,923128.81381884,141976.4313958,10574453.813573,1121937.8439942,196579.5365787,486106.1865328
"1997",3271271.63793561,466891.66500931,2129471.46266532,110115.48477626,22423256.107031,1316502.7327179,660257.8428674,197871.9628518
"1998",1532460.04327545,252620.72717137,1921834.07782534,779364.8550448,12578693.607194,619824.056348,412304.2915391,606769.2984567
"1999",1238462.03357935,457880.104512435,2014752.28789441,288625.129895,13745134.561786,1548217.4458419,1314805.3737194,523623.6877796
"2000",1471481.3389716,369553.333309173,3139555.97701612,3016.5885865,13379646.887468,2784424.2141699,826980.33702,1608478.9200798
"2001",2361751.6372502,1090420.99879953,1638707.5443338,34335.24085357,11690170.308074,3614370.311828,1760721.1441846,372623.2726929
"2002",1828918.70482985,1993778.99288127,3005172.9249654,168406.80992752,8105262.203372,2483946.5608541,871930.660031,1732356.0361238
"2003",1342339.0666817,958997.11941938,928894.010472,55690.41909458,10294917.722813,1860435.4214031,868200.254245,904780.5575752
"2004",1509660.45155896,771820.64970333,1116373.1070696,155510.79646729,6281793.526702,1354303.7264434,593257.7162343,186538.5665247
"2005",858090.5987835,734896.20163124,3153480.8859046,38020.553486494,4681209.8547709,1898945.904014,904360.20975,489236.4509906
"2006",700089.5388946,483337.12384767,2656240.2235736,136715.477073388,8540431.811896,1751853.4948147,749541.413289,1214497.039712
"2007",718651.85829818,506776.296912848,2518430.48633474,84908.29951193,8200487.526328,2383417.065285,1483630.590104,236769.122571
"2008",736213.22131531,1235299.71309035,1620865.865078,113592.876856543,8100549.629141,1648662.1721323,223565.184892,96818.461278
"2009",1016583.63737434,458562.815867193,928419.8591052,106262.915157615,6809446.785093,3805127.6740067,2359177.8169739,1607919.0042872
"2010",552080.89511743,534671.057618294,1384434.92765111,120050.410415423,3579590.6603907,3139199.5672732,1110479.730443,717410.858034
"2011",768597.6578155,275546.654571439,1577019.95894114,17844.7289656623,6097049.843208,1651096.448649,2063315.641555,2626410.052235
"2012",856261.39242466,615430.338726235,1236410.7625416,21887.3177609723,5916144.1030203,2867599.0855687,1082607.0627229,1041694.281717
"2013",614150.104221,394570.109525439,640465.60477947,16064.763140212,10124799.004557,2064256.60019165,540676.9608586,364492.2862002
"2014",897508.43878688,210198.75720275,916695.95840511,56760.7577507553,9940020.4261533,1272477.2731435,1289704.4155,2040329.549679
"2015",1729825.86788126,196326.968259493,1374908.9068547,277867.985710788,12093927.8734848,1548428.477459,3505194.7427,4645796.2491364
"2016",841662.5107891,454053.507713604,1236565.756175,195837.85397179,5002272.5787568,4372622.645849,1704661.669255,2186126.6720418
"2017",1227827.84740432,161188.306736135,835080.855613869,31185.061277495,5464892.9244371,2297930.0453256,801324.1512227,1826822.8489671
"2018",401703.02353033,105328.48532528,1465087.58484168,72211.785265719,7935728.7952219,2606091.5293595,1347724.20257,2871124.41036107
"2019",1261827.07246461,250624.396530408,998102.4461884,93718.6988672819,4064867.242456,2132483.1076391,1687239.8633668,1440420.9398185
"2020",910431.43072098,225493.789542003,667501.79004443,51621.1519508359,2906913.016957,2052221.9656195,1089245.1709601,689099.4705285
"2021",1244842.1907389,146893.151344127,871760.9449878,100997.979224856,3652595.63626,1428508.305458,596672.479967,1083268.8108517
"2022",627020.61926883,90504.7104805542,427953.34393515,18514.133336407,3828112.961725,2701619.836137,211394.537126,1206278.3244135
"2023",274532.46641665,118528.803924658,1281254.553122,72728.0200800515,3045800.645121,2639445.087919,175189.223889,872490.88601195
"2024",629327.23964243,85572.1882023329,506558.06778043,18752.2386382747,3404227.4698312,1358519.0628422,106307.278154,1346606.8418732
