"","UScatch"
"1991",33788578
"1992",22864992
"1993",18496655
"1994",18490216
"1995",27316898
"1996",18527713
"1997",33095894
"1998",19818263
"1999",23624276
"2000",25209805
"2001",24643048
"2002",22459079
"2003",18784142
"2004",13929701
"2005",14011664
"2006",17912320
"2007",19038617
"2008",15472386
"2009",20301405
"2010",11989139
"2011",17171431
"2012",15122235
"2013",16654328
"2014",18410339
"2015",27131016
"2016",17689989
"2017",14160003
"2018",17837998
"2019",13946389
"2020",9454705
"2021",10542082
