"","dom_catch"
"1950",1548245.27843208
"1951",1721403.29493574
"1952",1871779.04494001
"1953",2024534.51013281
"1954",2177865.29020703
"1955",2309815.24418551
"1956",2477754.82112903
"1957",2663494.32703891
"1958",2830723.92049657
"1959",3005378.5144702
"1960",3171483.66990758
"1961",3310437.02031052
"1962",3422729.81210124
"1963",3526260.87521756
"1964",3666072.43142554
"1965",3787555.06696664
"1966",3977327.83531084
"1967",4234482.33655741
"1968",4277636.8115523
"1969",4379747.32187471
"1970",4546592.90390323
"1971",4940240.71147227
"1972",5371696.98092409
"1973",5812479.67312173
"1974",6242192.82721647
"1975",6705422.06743768
"1976",7595451.16235761
"1977",8492909.99229499
"1978",9478472.84541016
"1979",10321618.1620681
"1980",11276106.0899664
"1981",9559892.49779483
"1982",12205541.1178544
"1983",11701644.8777582
"1984",8936779.11969736
"1985",9792174.63277174
"1986",12591960.7133262
"1987",11897465.9076114
"1988",5316254.7198374
"1989",28920714.5864216
"1990",25148285.655231
"1991",31902105.9846085
"1992",21595094.7120181
"1993",18550847.3380917
"1994",18995706.1084337
"1995",29217090.0393989
"1996",19080652.7402667
"1997",35899680.0569148
"1998",20707347.4445121
"1999",23697104.6106422
"2000",24464477.525631
"2001",23851935.7742661
"2002",20155528.9139854
"2003",18633148.1062464
"2004",13770738.4866711
"2005",14033860.6079192
"2006",17811849.5504262
"2007",18610211.6570893
"2008",15899053.3433003
"2009",20520511.6202616
"2010",22326607.7843103
"2011",33136792.2945279
"2012",30464112.9638105
"2013",17855122.7919046
"2014",22568009.4886994
"2015",33486765.1396548
"2016",22236945.7470306
"2017",18168196.1617925
"2018",21983078.5317177
"2019",17905410.7791125
