,HireFLK,HireNCFL,HireNNC,HireVBM,RecFLK,RecNCFL,RecNNC,RecVBM
1986,0.020944661,0,0,0,0.058685402,0,0.5,0.079348973
1987,0.031712074,0.069703135,0.000772377,0,0.083373652,0,0,0
1988,0.04571175,0,0,0,0.006739907,0.014652661,0.285141348,0
1989,0.024811003,0.053776978,0.010952525,0.011111111,0.078243723,0.031876135,0,0.070315442
1990,0.078715012,0.011521333,0.077677335,0,0.068507972,0.014514227,0,0.094206181
1991,0.069918478,0,0.151948342,0.003894157,0.2347229,0.012047271,0.023699939,0.109747336
1992,0.104326353,0,0.010378094,0.022173063,0.123165366,0.113740757,0.183203599,0.026260002
1993,0.093238633,0.005553306,0.009869628,0.020311312,0.125143512,0.128735047,0.201436216,0.040060751
1994,0.024881473,0.092506031,0.011265995,0.111111111,0.094655896,0.081958709,0.051468495,0.107516446
1995,0.041429723,0.003693552,0.011337862,0.053688155,0.138484724,0.05860629,0.210484994,0
1996,0.022129511,0.132015068,0.001290581,0.007056881,0.115830108,0.141313254,0.17710374,0.187039312
1997,0.117280816,0.076938084,0.000559894,0,0.145073646,0.246180199,0.035073417,0.111044568
1998,0.04176066,0.176786058,0.004332883,0.022897822,0.093914662,0.03125,0.237203712,0.086382991
1999,0.113897348,0.071963429,0.005893771,0.166666667,0.108609286,0.085333877,0.001840178,0
2000,0.037409716,0.045136588,0.009433154,0,0.168541945,0.035541296,0.02973863,0.111111111
2001,0.053461463,0.012147736,0.00034108,0,0.103591547,0.166241141,0.00463448,0.317246552
2002,0.027819453,0.039445032,0.00085774,0,0.077525775,0.248293571,0.2,0.079300578
2003,0.063625472,0.083197446,0.000183449,0.023479221,0.168976385,0.078584803,0,0.011915661
2004,0.094053568,0.025576002,0.001014303,0.00237813,0.152102658,0.146029785,0,0.047150966
2005,0.109963195,0.025447609,0.000762547,0.028185094,0.247964856,0.040529806,0.084801976,0.338448649
2006,0.205547591,0.082700187,0.004022714,0,0.284114279,0.162151867,0.224966609,0.040117239
2007,0.175217146,0.030630505,0.000680811,0.01096213,0.263342546,0.062568038,0.216092681,0.286749322
2008,0.204840794,0.047516267,0.002110284,0.056253208,0.265925194,0.142028231,0.004720559,0.234766208
2009,0.162699602,0.072462358,0,0.033605761,0.20368065,0.174275906,0.002332834,0.197011961
2010,0.125951649,0.094615781,0.001493339,0.002296223,0.346777719,0.153810406,0.00877815,0.167810188
2011,0.204911617,0.121578767,0.003797943,0,0.293306128,0.119084973,0.030663736,0.280429151
2012,0.112733952,0.042947867,0.001956652,0.007044321,0.18225943,0.279443476,0.005834809,0
2013,0.232450288,0.077402511,0,0,0.275098421,0.214795156,0.146080954,0
2014,0.19821647,0.111324628,0.002053194,0.020833333,0.349063379,0.047835308,0.081322608,0.007817992
2015,0.140677986,0.098955069,0.019902437,0.025466404,0.322044868,0.065106472,0.060650539,0.152913503
2016,0.146289454,0.068074647,0.001022774,0.01017776,0.153699772,0.06048707,0.006203118,0.095493718
2017,0.233916717,0.094407837,0.008050599,0.099904123,0.206029785,0.068735905,0.049037853,0.126819973
2018,0.227720396,0.174142733,0.007717144,0.004115226,0.224035905,0.171682495,0.288616886,0.040896034
2019,0.168691146,0.173594555,0.002023247,0.030814317,0.346117668,0.235629821,0.100738758,0.277251612
2020,0.163212827,0.159204884,0.001193993,0.116352896,0.22966866,0.145608287,0.234289984,0.151635086
2021,0.182654104,0.167005868,0.003503948,0.009592272,0.478754501,0.090367706,0.063057573,0.14976436
2022,0.220929377,0.165474417,0.004819252,0.016427249,0.449447422,0.010638678,0,0.154109029
2023,0.27816643,0.139310122,0.001033404,0.072018195,0.344802666,0.123440439,0.011158412,0.248263153
2024,0.247715743,0.116480177,0.009423025,0.06241423,0.302306335,0.214572441,0,0.268634162
,,,,,,,,
,12.43%,7.60%,0.98%,2.70%,20.29%,10.81%,9.64%,12.05%
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
