"Year","stcpue"
"2000",0.241963179919625
"2001",0.324703859685341
"2002",0.396471849348538
"2003",0.144564701811965
"2004",0.211511842217826
"2005",0.20267400236382
"2006",0.25349964286681
"2007",0.56588038110021
"2008",0.28146353789034
"2009",0.427568975575266
"2010",0.22147999598821
"2011",0.387378879854738
"2012",0.56192259926681
"2013",0.340299474959019
"2014",0.52080434398394
"2015",0.781647656713477
"2016",0.102877026533086
"2017",0.222233769179228
"2018",0.430675982735323
"2019",0.328695876917997
"2020",0.125658198995533
