"Year","perar"
"1990",0.866666666666667
"1991",1
"1992",0.7
"1993",0.166666666666667
"1994",0.962962962962963
"1995",0.769230769230769
"1996",0.866666666666667
"1997",0.85
"1998",0.340277777777778
"1999",0.939393939393939
"2000",1
"2001",1
"2002",0.807692307692308
"2003",0.872340425531915
"2004",0.941176470588235
"2005",0.221428571428571
"2006",0.444444444444444
"2007",0.388888888888889
"2008",0
"2009",0
"2010",0
"2011",0
"2012",0.4
"2013",0
"2014",0
"2015",0.75
"2016",0.234375
"2017",0
"2018",0
"2019",0
"2020",0.192982456140351
"2021",0
"2022",0
"2023",0.25
"2024",0.153846153846154
