,UnRep,UScom,Intl,HireFLK,HireNCFL,HireNNC,HireVBM,RecFLK,RecNCFL,RecNNC,RecVBM,HireFLK_D,HireNCFL_D,HireNNC_D,HireVBM_D,RecFLK_D,RecNCFL_D,RecNNC_D,RecVBM_D
1986,2633326.946,216899.6,3667801.74,1495359.935,63481.03167,815524.5788,61658.23231,5240066.305,723332.4996,2549.585587,103945.1344,7829.951741,0,0,0,76878.84932,0,318.6981984,2061.984911
1987,2408974.085,258926.8,2757403.172,1853925.969,61244.15355,850661.9247,24967.82574,7120879.59,175166.5698,79540.36473,52139.77175,14697.95925,1067.227372,164.2579806,0,148423.4347,0,0,0
1988,2771552.284,293450.2,3083613.574,798784.1369,62328.05526,1114627.048,94676.21652,6770695.333,321023.1203,202768.9505,33566.16316,9128.455194,0,0,0,11408.46345,1175.960745,14454.45295,0
1989,2728854.698,617685.6,3203652.066,3138919.51,405020.8222,1969691.994,451477.4524,17642560.62,871339.7017,338433.961,996945.39,19469.93542,5445.199003,5393.275004,1254.104034,345104.9073,6943.735438,0,17525.16387
1990,2712313.441,670784.4,4123878.254,1163010.286,277771.1277,1750789.543,31079.24932,20101985.64,520945.0588,119477.5663,509424.9807,22886.5921,800.0734481,33999.16636,0,344286.5696,1890.278658,0,11997.74546
1991,2643631.426,992333.2,4706667.989,4247101.711,219885.3542,1706920.502,159172.2482,22971135.81,457667.1299,277389.6461,464786.7332,74237.72155,0,64840.93512,154.9604182,1347962.904,1378.409999,1643.529424,12752.27647
1992,3111330.983,558814.2,4536905.598,2445180.6,194879.273,1619776.296,161150.4397,16078425.91,245395.7521,89160.85958,509297.2607,63774.19387,0,4202.547482,893.2997092,495076.3043,6977.87466,4083.647598,3343.536813
1993,3218663.288,803731.2,4404550.637,1459668.441,391802.4304,1555738.693,741954.8633,9876289.248,733727.8656,296399.1993,871948.6006,34024.37238,543.9497236,3838.640555,3767.519247,308988.3809,23614.12275,14926.38329,8732.728848
1994,3098621.483,1004619.732,4983825.657,1122352.695,437640.3307,1709254.675,573552.3859,9648485.012,1526105.252,264006.0687,594467.4139,6981.447185,10121.09252,4814.11348,15932.01072,228321.4995,31269.40422,3396.998777,15978.75584
1995,3064756.732,2137900.762,5388214.109,2841924.893,667451.8995,1677722.375,145757.67,15208257.3,1713632.952,272343.1975,609302.6188,29435.04006,616.317131,4755.446351,1956.365103,526527.8295,25107.41751,14331.03906,0
1996,3352925.709,1207074.08,6429490.861,2913300.039,309100.4727,923564.7061,142017.5093,10571148.44,1150291.691,196579.5366,486106.1865,16117.47604,10201.47998,297.9837578,250.5501777,306114.3176,40637.86553,8703.742805,22730.24168
